,Link,Dealer/private,Price_kr,Model_year,First_registration,Mileage_km,Range_km,BatteryCapacity_kWh,Horsepower,Acceleration_sec,Color,AWD/RWD
1882,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/5967126,True,324900,2023,12/2022,2000,531,77.0,204,8.5,Sølvmetal,False
1954,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6130327,True,314700,2023,6/2023,7000,531,76.6,204,8.5,Sortmetal,False
1960,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6139336,True,289900,2023,6/2023,5000,531,77.0,174,10.4,Sølvmetal,False
1981,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-performance-5d/5554881,True,339900,2022,12/2021,1800,346,55.0,170,9.0,Koksmetal,False
1987,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6140313,True,289900,2023,6/2023,8000,531,77.0,174,10.4,Hvidmetal,False
2000,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-life-plus-5d/6131129,True,309900,2023,6/2023,2000,518,77.0,204,8.5,Hvid,False
2044,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6156072,True,289900,2023,6/2023,2000,531,77.0,174,10.4,Hvidmetal,False
2051,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6154000,True,319900,2023,6/2023,6500,531,76.6,204,8.5,Grå,False
2103,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6054488,True,239500,2021,11/2021,7000,340,52.0,148,10.9,Grå,False
2120,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6102968,True,329900,2023,1/2023,6000,501,76.6,204,8.5,Sortmetal,False
2186,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6144480,True,399500,2024,12/2023,3000,531,76.6,204,8.5,Blåmetal,False
2194,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6139811,True,324900,2023,4/2023,7885,517,77.0,204,8.5,Blåmetal,False
