Link,Dealer_Private,Vehicle_type,Make,Model,Price_kr,Model_year,Mileage_km,Range_km,BatteryCapacity_kWh,Horsepower,Acceleration_0-100km/h_secs.,Trailer_hitch,Color,Drive_type
https://www.bilbasen.dk/brugt/bil/vw/e-up/5d/5973578,True,Mikro,Vw,E-UP,169900,2022,1000,260.0,36.8,83,11.9,False,Hvid,FWD
https://www.bilbasen.dk/brugt/bil/honda/eny1/advance-5d/6106078,True,CUV,Honda,ENY1,319900,2023,3000,378.0,62.0,204,7.6,False,Blå,FWD
https://www.bilbasen.dk/brugt/bil/ford/explorer/premium-extended-range-awd-5d/6120851,True,SUV,Ford,EXPLORER,379900,2024,0,532.0,79.0,340,5.3,False,Blå,AWD
https://www.bilbasen.dk/brugt/bil/hyundai/kona/65-ev-ultimate-5d/6079138,True,CUV,Hyundai,KONA,358485,2024,0,508.0,64.4,217,7.8,True,Other,FWD
https://www.bilbasen.dk/brugt/bil/fiat/500e/red-3d/5378300,True,Mikro,Fiat,500E,167700,2022,350,190.0,25.0,95,9.5,False,Rød,FWD
https://www.bilbasen.dk/brugt/bil/cupra/born/58-high-5d/6075166,True,Halvkombi,Cupra,BORN,234900,2023,7000,421.0,62.0,204,7.3,False,Grå,RWD
https://www.bilbasen.dk/brugt/bil/mercedes/eqb250/amg-line-5d/6153984,True,SUV,Mercedes,EQB250,336000,2023,6900,469.0,66.5,190,9.2,False,Other,FWD
https://www.bilbasen.dk/brugt/bil/fiat/500e/icon-cabrio-2d/5602853,True,Mikro,Fiat,500E,199900,2022,6000,306.0,42.0,118,9.0,False,Grå,FWD
https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6014566,True,CUV,Vw,ID4,329800,2023,5000,514.0,77.0,204,8.5,True,Blå,RWD
https://www.bilbasen.dk/brugt/bil/vw/id7/style-5d/6078880,True,Halvkombi,Vw,ID7,484900,2024,0,615.0,77.0,286,6.5,True,Sort,RWD
https://www.bilbasen.dk/brugt/bil/fiat/500e/icon-3d/6132876,True,Mikro,Fiat,500E,154500,2022,5300,312.0,42.0,118,9.0,False,Sort,FWD
https://www.bilbasen.dk/brugt/bil/dacia/spring/essential-5d/6022669,True,Halvkombi,Dacia,SPRING,109800,2023,0,230.0,25.0,44,19.1,False,Rød,FWD
https://www.bilbasen.dk/brugt/bil/skoda/enyaq/60-iv-coup-5d/5833632,True,CUV,Skoda,ENYAQ,379900,2023,0,402.0,58.3,179,8.8,True,Sølv,RWD
https://www.bilbasen.dk/brugt/bil/kia/niro/64-ev-prestige-5d/5994282,True,CUV,Kia,NIRO,284600,2023,1000,460.0,64.8,204,7.8,True,Hvid,FWD
https://www.bilbasen.dk/brugt/bil/kia/ev6/77-long-range-gt-line-5d/6157512,True,Halvkombi,Kia,EV6,399900,2024,0,528.0,72.5,229,7.5,True,Hvid,RWD
https://www.bilbasen.dk/brugt/bil/fisker/ocean/extreme-5d/6148366,True,SUV,Fisker,OCEAN,379900,2024,0,707.0,106.5,564,4.0,True,Sort,AWD
https://www.bilbasen.dk/brugt/bil/kia/ev6/77-long-range-performance-prestige-awd-5d/6075531,True,Halvkombi,Kia,EV6,407899,2024,0,506.0,77.4,325,5.4,True,Hvid,AWD
https://www.bilbasen.dk/brugt/bil/bmw/i4/edrive40-m-sport-pro-5d/6127344,True,Halvkombi,Bmw,I4,519900,2024,6000,585.0,80.7,340,5.6,True,Grå,RWD
https://www.bilbasen.dk/brugt/bil/cupra/born/77-e-boost-5d/6129201,True,Halvkombi,Cupra,BORN,289900,2023,3000,416.0,58.0,231,7.0,False,Other,RWD
https://www.bilbasen.dk/brugt/bil/mercedes/eqa300/amg-line-4matic-5d/6075084,True,CUV,Mercedes,EQA300,424900,2023,8000,420.0,75.7,228,7.7,True,Hvid,AWD
