,Link,Dealer/private,Price_kr,Mileage_km,Color,AWD/RWD,Age_in_months,Acceleration_category,Range_category
0,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6137536,True,299800,2000,Grey,False,33,medium,medium
1,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6014566,True,329800,5000,Blue,False,19,medium,medium
2,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6156058,True,289900,7000,White,False,10,slow,long
3,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6142897,True,419800,50,White,True,14,fast,short
4,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6069949,True,359900,37,Silver,True,11,fast,medium
5,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6122501,True,427500,6000,Black,False,9,medium,long
6,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6132524,True,419800,2000,Black,True,14,fast,short
7,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-life-5d/5615572,True,289800,7000,Grey,False,30,medium,medium
8,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6134922,True,299900,8000,Blue,False,14,slow,medium
9,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6105604,True,312700,6000,Silver,False,11,medium,long
10,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-life-plus-5d/6135070,True,299900,6000,Silver,False,11,medium,long
11,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6089709,True,369800,8000,Red,True,15,fast,medium
12,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6138064,True,419500,4000,White,True,5,fast,medium
13,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6135110,True,334900,7000,Blue,False,24,medium,medium
14,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6157400,True,349900,500,Black,True,3,fast,short
15,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6155780,True,319900,7500,Blue,False,13,medium,long
16,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6156071,True,289900,5000,Silver,False,10,slow,long
17,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6131791,True,315000,2000,Blue,False,10,slow,long
18,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6096963,True,359900,100,White,True,15,fast,short
19,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6064803,True,359900,100,White,True,15,fast,short
20,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6098868,True,419900,50,Grey,True,15,fast,medium
21,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-life-plus-5d/6154383,True,299500,5000,Grey,False,11,medium,long
22,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-performance-5d/5529909,True,289900,100,Grey,False,23,medium,short
23,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6119044,True,344900,4000,Grey,False,13,medium,long
24,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6132374,True,364900,1500,White,False,3,medium,long
25,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6038418,True,384900,2000,White,True,15,fast,medium
26,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-75-years-edition-5d/5967343,True,354900,5000,White,False,9,medium,long
27,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/5767261,True,349900,800,White,False,19,medium,medium
28,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6135878,True,323500,5000,White,False,20,medium,medium
29,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6012253,True,375000,4000,Blue,False,6,medium,long
30,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6056545,True,359900,55,Black,True,14,fast,short
31,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6138364,True,324900,1000,Silver,False,7,medium,long
32,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6145769,True,329900,8000,White,False,37,medium,medium
33,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6135848,True,327700,8000,Blue,False,11,medium,long
34,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6138035,True,289900,4000,White,False,11,slow,long
35,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6157472,True,339800,8000,Black,False,13,medium,long
36,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6144033,True,319900,5000,White,False,11,medium,long
37,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/5967324,True,324900,100,Grey,False,23,medium,medium
38,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6065712,True,359900,100,Blue,True,15,fast,short
39,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6156073,True,289900,7000,Blue,False,11,slow,long
40,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6148818,True,329500,7000,Grey,False,22,medium,medium
41,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6140612,True,364900,1800,Blue,False,3,medium,long
42,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6096964,True,359900,100,Silver,True,14,fast,short
43,https://www.bilbasen.dk/brugt/bil/vw/id4/style-5d/6100073,True,254900,8000,White,False,30,slow,short
44,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6098875,True,419900,50,Grey,True,15,fast,medium
45,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6159353,True,289900,8000,Silver,False,11,slow,long
46,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/5967126,True,324900,2000,Silver,False,17,medium,long
47,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6130327,True,314700,7000,Black,False,11,medium,long
48,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6139336,True,289900,5000,Silver,False,11,slow,long
49,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-performance-5d/5554881,True,339900,1800,Grey,False,29,medium,short
50,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6140313,True,289900,8000,White,False,11,slow,long
51,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-life-plus-5d/6131129,True,309900,2000,White,False,11,medium,medium
52,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6156072,True,289900,2000,White,False,11,slow,long
53,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6154000,True,319900,6500,Grey,False,11,medium,long
54,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6054488,True,239500,7000,Grey,False,30,slow,short
55,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6102968,True,329900,6000,Black,False,16,medium,medium
56,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6144480,True,399500,3000,Blue,False,5,medium,long
57,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6139811,True,324900,7885,Blue,False,13,medium,medium
58,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6038419,True,384900,2000,Black,True,14,fast,medium
59,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6061228,True,359900,100,Black,True,14,fast,short
60,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6150531,True,299900,8000,White,False,13,slow,long
61,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6142909,True,419800,50,White,True,13,fast,short
62,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/5840091,True,468800,4000,White,True,11,fast,medium
63,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-max-5d/6049958,True,349900,7000,Yellow_gold,False,38,medium,medium
64,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6132660,True,324700,8000,White,False,11,medium,long
65,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6047379,True,357900,4200,White,True,11,fast,short
66,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6139338,True,289900,8000,White,False,11,slow,long
67,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/5978746,True,369900,8000,White,False,17,medium,medium
68,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/5996450,True,319900,7000,Grey,False,17,medium,medium
69,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/5966312,True,339800,6000,White,True,27,fast,medium
70,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6137670,True,304900,4000,Grey,False,17,medium,long
71,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6134246,True,285000,28000,White,False,41,medium,medium
72,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6155480,True,259900,42000,Blue,False,37,medium,medium
73,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-max-5d/6144961,True,324800,30000,White,False,31,medium,medium
74,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6134705,True,269900,40000,Blue,False,37,medium,medium
75,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6070043,True,229900,35000,Grey,False,31,slow,short
76,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6118869,True,284900,24000,Blue,False,38,medium,medium
77,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6056867,True,219800,24000,Grey,False,30,slow,short
78,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6120737,True,269900,32000,Yellow_gold,False,37,medium,medium
79,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6158600,True,254900,35000,Grey,False,19,medium,medium
80,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6074195,True,239900,25000,Grey,False,18,slow,short
81,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6134921,True,319000,35000,Red,True,14,fast,medium
82,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6127785,True,279800,28000,White,False,41,medium,medium
83,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-performance-5d/6152345,True,224900,27000,Grey,False,29,medium,short
84,https://www.bilbasen.dk/brugt/bil/vw/id4/city-performance-5d/6121425,True,244800,29000,Grey,False,27,medium,short
85,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/5964728,True,359700,42000,White,True,35,fast,short
86,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6141206,True,324900,24000,Blue,False,17,medium,medium
87,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6123936,True,214900,27000,Grey,False,31,slow,short
88,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6150056,True,274900,29000,White,False,41,medium,medium
89,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6130919,True,269900,49000,Grey,False,37,medium,medium
90,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6069728,True,329900,24000,White,False,41,medium,medium
91,https://www.bilbasen.dk/brugt/bil/vw/id4/tech-performance-5d/6108434,True,309999,37000,Blue,False,29,medium,medium
92,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6147352,True,299995,25000,White,True,27,fast,short
93,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-performance-5d/6057781,True,224900,29000,Grey,False,30,medium,short
