Link,Brand,Model,Variant,Price,Modelår,1. registrering,Kilometertal,Drivmiddel,Rækkevidde,Batterikapacitet,Energiforbrug,Hjemmeopladning AC,Hurtig opladning DC,Opladningstid DC 10-80%,Periodisk afgift,Ydelse,Acceleration,Tophastighed,Trækvægt,Farve,Nypris,Kategori,Type,Bagagerumsstørrelse,Vægt,Bredde,Længde,Højde,Lasteevne,Max. trækvægt m/bremse,Trækhjul,ABS-bremser,ESP,Airbags,Døre,Produceret,Error
https://www.bilbasen.dk/brugt/bil/vw/e-up/move-up-5d/6107094,Vw,E-UP,Move,119.500 kr.,2021.0,1/2021,55.500 km,El,(WLTP) 165 km,"18,7 kWh",145 Wh/km,-,-,-,6.380 kr. / år,83 hk/210 nm,"11,9 sek.",130 km/t,-,Hvid,-,Personbil,Mikro,251 liter,1.135 kg,165 cm,360 cm,149 cm,395 kg,-,Forhjulstræk,Ja,Ja,6,5,,
https://www.bilbasen.dk/brugt/bil/nissan/ariya/87-evolve-e-4orce-5d/5911042,Nissan,ARIYA,87 evolve e,436.000 kr.,2023.0,8/2023,6.000 km,El,(WLTP) 493 km,"87,0 kWh",199 Wh/km,-,-,-,780 kr. / år,306 hk/600 nm,"5,7 sek.",200 km/t,1.500 kg,Hvidmetal,494.824 kr.,Personbil,SUV,415 liter,2.259 kg,185 cm,460 cm,166 cm,396 kg,1.500 kg,Firehjulstræk,Ja,Ja,6,5,,
https://www.bilbasen.dk/brugt/bil/mercedes/eqa250/progressive-5d/6118975,Mercedes,EQA250,Progressive,349.700 kr.,2022.0,1/2022,19.000 km,El,(WLTP) 424 km,"66,5 kWh",179 Wh/km,-,-,-,780 kr. / år,190 hk/375 nm,"8,9 sek.",160 km/t,750 kg,Gråmetal,-,Personbil,CUV,340 liter,2.040 kg,183 cm,446 cm,162 cm,430 kg,750 kg,Forhjulstræk,Ja,Ja,7,5,,
https://www.bilbasen.dk/brugt/bil/hyundai/ioniq/ev-trend-5d/6141522,Hyundai,IONIQ,Ev,159.500 kr.,2019.0,9/2019,33.000 km,El,(NEDC) 280 km,"28,0 kWh",115 Wh/km,-,-,-,780 kr. / år,120 hk/295 nm,"9,9 sek.",165 km/t,-,Hvid,249.995 kr.,Personbil,Halvkombi,350 liter,1.420 kg,182 cm,447 cm,145 cm,460 kg,-,Forhjulstræk,Ja,Ja,6,5,,
https://www.bilbasen.dk/brugt/bil/bmw/ix3/charged-m-sport-5d/6059437,Bmw,IX3,Charged m,459.900 kr.,2022.0,1/2023,9.000 km,El,(WLTP) 460 km,"74,0 kWh",186 Wh/km,-,-,-,780 kr. / år,286 hk/400 nm,"6,8 sek.",180 km/t,750 kg,Mørkblåmetal,518.102 kr.,Personbil,SUV,510 liter,2.260 kg,189 cm,473 cm,167 cm,465 kg,750 kg,Baghjulstræk,Ja,Ja,6,5,,
https://www.bilbasen.dk/brugt/bil/cupra/born/77-e-boost-5d/5623128,Cupra,BORN,77 e,294.900 kr.,2022.0,9/2022,3.000 km,El,(WLTP) 544 km,"77,0 kWh",159 Wh/km,-,-,-,780 kr. / år,231 hk/310 nm,"7,0 sek.",160 km/t,-,Mørkblåmetal,330.810 kr.,Personbil,Halvkombi,385 liter,1.946 kg,181 cm,432 cm,154 cm,354 kg,-,Baghjulstræk,Ja,Ja,-,5,,
https://www.bilbasen.dk/brugt/bil/citron/-c4/50-shine-5d/6073105,Citron,-C4,50,234.900 kr.,2023.0,3/2023,200 km,El,(WLTP) 350 km,"50,0 kWh",153 Wh/km,-,-,-,780 kr. / år,136 hk/260 nm,"9,7 sek.",150 km/t,-,Koksmetal,310.710 kr.,Personbil,CUV,380 liter,1.516 kg,180 cm,436 cm,153 cm,484 kg,-,Forhjulstræk,Ja,Ja,6,5,,
https://www.bilbasen.dk/brugt/bil/hyundai/ioniq-6/77-advanced-4d/5982769,Hyundai,IONIQ-6,77,379.900 kr.,2023.0,4/2023,5.000 km,El,(WLTP) 614 km,"77,4 kWh",143 Wh/km,-,-,-,780 kr. / år,229 hk/350 nm,"7,4 sek.",182 km/t,1.500 kg,Mørkblåmetal,400.715 kr.,Personbil,Sedan,401 liter,1.910 kg,188 cm,486 cm,150 cm,500 kg,1.500 kg,Baghjulstræk,Ja,Ja,7,4,,
https://www.bilbasen.dk/brugt/bil/audi/q4-e-tron/40-attitude-5d/6114040,Audi,Q4-E-TRON,40,359.800 kr.,2022.0,12/2021,31.000 km,El,(WLTP) 508 km,"82,0 kWh",177 Wh/km,-,-,-,780 kr. / år,204 hk/310 nm,"8,5 sek.",160 km/t,1.000 kg,Hvidmetal,404.366 kr.,Personbil,CUV,520 liter,2.125 kg,187 cm,459 cm,163 cm,515 kg,1.000 kg,Baghjulstræk,Ja,Ja,6,5,,
https://www.bilbasen.dk/brugt/bil/vw/id3/pro-s-tour-5d/6126595,Vw,ID3,Pro s,247.800 kr.,2021.0,1/2021,22.000 km,El,(WLTP) 552 km,"76,6 kWh",158 Wh/km,-,-,-,780 kr. / år,204 hk/310 nm,"7,9 sek.",160 km/t,-,Gråmetal,-,Personbil,Halvkombi,385 liter,1.794 kg,181 cm,426 cm,157 cm,466 kg,-,Baghjulstræk,Ja,Ja,7,5,,
https://www.bilbasen.dk/brugt/bil/peugeot/e-208/50-active-pack-5d/6134987,Peugeot,E-208,50 active,149.800 kr.,2022.0,12/2021,50.000 km,El,(WLTP) 362 km,"45,0 kWh",155 Wh/km,-,-,-,780 kr. / år,136 hk/260 nm,"8,1 sek.",150 km/t,-,Gråmetal,301.811 kr.,Personbil,Halvkombi,265 liter,1.222 kg,177 cm,405 cm,143 cm,423 kg,-,Forhjulstræk,Ja,Ja,6,5,,
https://www.bilbasen.dk/brugt/bil/mercedes/eqb250/progressive-5d/6154291,Mercedes,EQB250,Progressive,334.500 kr.,2022.0,10/2022,26.000 km,El,(WLTP) 469 km,"66,5 kWh",164 Wh/km,-,-,-,780 kr. / år,190 hk/385 nm,"9,2 sek.",160 km/t,-,Blåmetal,-,Personbil,SUV,495 liter,2.110 kg,183 cm,468 cm,167 cm,410 kg,-,Forhjulstræk,Ja,Ja,7,5,,
https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-max-5d/6123210,Vw,ID4,Pro performance,314.900 kr.,2021.0,8/2021,26.300 km,El,(WLTP) 506 km,"76,6 kWh",178 Wh/km,-,-,-,780 kr. / år,204 hk/-,"8,5 sek.",160 km/t,1.000 kg,Blåmetal,-,Personbil,CUV,543 liter,2.085 kg,185 cm,459 cm,163 cm,575 kg,1.000 kg,Baghjulstræk,Ja,Ja,7,5,,
https://www.bilbasen.dk/brugt/bil/polestar/2/standard-range-5d/6111747,Polestar,2,Standard,289.900 kr.,2022.0,12/2021,17.000 km,El,(WLTP) 414 km,"64,0 kWh",167 Wh/km,-,-,-,780 kr. / år,224 hk/330 nm,"7,4 sek.",160 km/t,1.500 kg,Blåmetal,346.420 kr.,Personbil,Halvkombi,405 liter,2.015 kg,180 cm,461 cm,148 cm,375 kg,1.500 kg,Forhjulstræk,Ja,Ja,-,5,,
https://www.bilbasen.dk/brugt/bil/audi/e-tron/55-s-line-quattro-5d/5954510,Audi,E-TRON,55 s line,549.900 kr.,2023.0,8/2022,16.000 km,El,(WLTP) 405 km,"95,0 kWh",240 Wh/km,-,-,-,780 kr. / år,408 hk/664 nm,"5,7 sek.",200 km/t,1.800 kg,Koksmetal,663.790 kr.,Personbil,SUV,660 liter,2.565 kg,194 cm,490 cm,163 cm,565 kg,1.800 kg,Firehjulstræk,Ja,Ja,6,5,,
https://www.bilbasen.dk/brugt/bil/peugeot/e-2008/50-gt-5d/6138397,Peugeot,E-2008,50,219.900 kr.,2023.0,2/2023,18.000 km,El,(WLTP) 318 km,"50,0 kWh",159 Wh/km,-,-,-,780 kr. / år,136 hk/260 nm,"8,5 sek.",150 km/t,-,Gråmetal,282.753 kr.,Personbil,CUV,405 liter,1.455 kg,175 cm,430 cm,153 cm,168 kg,-,Forhjulstræk,Ja,Ja,6,5,,
